Название;Стоимость;Стихия;Тип камня;Страна;Легендарность;Суть
Перчатки Бездны;Не продается;Земля;Аэталит;Андерирсар;Единственная;Прикосновение рукой в этой перчатке снимает все эффекты зелий и заклинаний с цели. Вы можете наложить заклинание «Принужденное Подчинение» с усилением: вы получаете все бонусы от предметов, зелий, артефактов и способностей подчиненного существа, само существо при это получает -50% к здоровью и обездвиживается. +100% к магической защите.
Меч Чистой Воды;50 сс;Вода;Нет;Венитаркт;Обычная;+50% к магии Воды.
Живой меч;75 сс;Жизнь;Нет;Венитаркт;Обычная;Этот меч может убежать от похитившего его оппонента. +1 к количеству призываемых с заклинанием существ. (Элементали просто усиливаются на 25%, Древняя магия не усиливается)
Стакан воды (1);100 сс;Вода/Жизнь;Нет;Венитаркт;Обычная;При броске в оппонента дает ему -100% к магии Огня, а также аннулирует эффект Дипломатии и Скрытности.
Призмариновая броня;25-75-50-25;Вода/Жизнь;Нет;Венитаркт;Обычная;Если кинуть эту броню в воду, она полностью восстановится (если ее еще можно носить). Вы получаете +100% к реакции под водой (за полный комплект). Вы получаете возможность колдовать заклинания «Огненная стрела» и «Лавовая лужа» под водой.
Перчатки из магических водорослей;125 сс;Жизнь;Нет;Венитаркт;Редкая;Вы получаете возможность управлять течением воды: ускорять или замедлять его. Действует на реки шириной не более 25 метров.
Лук подводных зарослей;125 сс;Жизнь;Нет;Венитаркт;Редкая;Стреляет под водой, как и над водой. Не наносит урона, если попадает не в броню (или прочную чешую), иначе наносит удвоенный урон.
Меч подводного сияния;150 сс;Вода;Нет;Венитаркт;Редкая;+200% к заклинаниям «Восполнение манны», «Точность», «Чтение рун» и «Воздвижение Силового Щита». Нежить не может атаковать и даже преследовать вас, пока вы находитесь на другом берегу водоема.
Подводный медальон;200 сс;Вода;Нет;Венитаркт;Эпическая;+10% к защите за каждое наколдованное заклинание магии Воды во время боя. По окончании боя бонус пропадет. -50% к стоимости заклинаний Магии Воды. +50% к стоимость магии Огня у соперника, +10% к нападению за каждое попавшее в вас заклинании Магии Огня. По окончании боя бонус пропадет.
Настойка из водорослей (1);250 сс;Вода;Нет;Венитаркт;Эпическая;Заклинания:«Вызов дождя» - утраивает вашу регенерацию.«Восполнение манны» - восполняет всю ману.«Точность» - наделяет 10% шансом пробить любой доспех у героя и нанести утроенный удар у существа.«Оледенение» - цель, пораженная оледенением, получает удвоенный урон от физических атак.«Воздвижение силового щита» - применяется и против заклинаний Тьмы.Настойка действует ровно любые пять раз по вашему выбору.
Броня из подводного железа;125-200-150-75;Вода/Жизнь;Нет;Венитаркт;Эпическая;Удваивает действие на вас зелий. +50% к скорости, если битва происходит на берегу реки. Также -50% к магии Огня соперника.
Меч из заповедного дуба;500 сс;Вода/Жизнь;Вателит;Венитаркт;Легендарная;Несмотря на то, что этот меч деревянный и сражаться им не очень-то хорошо, его можно разрядить, при этом другой меч получит способность игнорировать действие артефактов (но не вещей) на противнике, а также даст вам возможность быстро регенерировать здоровье под водой.
Щит Прозрачной Воды;500 сс;Вода/Жизнь;Вателит;Венитаркт;Легендарная;Аккумулирует внутри себя заклинания с некоторым шансом и в любой момент отдает ее вам. После применения на вас накладывается эффект зелья Силы увеличенный в (суммарный уровень заклинаний) раз, а щит разряжается. Суммарное поглощение не более 50. Также вы получаете заклинания «Святое Слово» и «Воздвижение силового щита» на уровне 5-ого круга.
Посох Водоворота;1000 сс;Вода;Азурит;Венитаркт;Мифическая;Может накладывать специальное заклинание, оставляющее 1% здоровья у существа 10-ого уровня и ниже. Если вы накладываете это заклинание, вы получаете +200% к скорости на одну минуту. Может разрушать вещи, имеющие стихию Огонь редкостью не более, чем Эпическая. В этом случае посох разряжается. Если посох сломан, вы получаете полную неуязвимость на одну минуту.
Броня Водоворота;500-800-600-300;Жизнь;Азурит;Венитаркт;Мифическая;Вы получаете возможность:1) Полностью дышать под водой и колдовать любые заклинания на ее поверхности и под ней.2) Любые негативные чары, наложенные на вас, снимаются под водой.3) Любое ваше заклинание Магии Воды невозможно отразить.
Арбалет-сеть Бурной Реки;Не продается;Вода/Жизнь;Аэлатон;Венитаркт;Единственная;Это оружие связывает противника длинной и прочной сетью. Выбраться из этой сети практически невозможно: пока вы в сети, на вас накладываются заклинания «Оледенение» и «Замедление», а также после каждого вашего движения на вас накладывается заклинание «Молния». Эта сеть ловит даже заклинания – они просто остаются в этой сети. У этого оружия сколько угодно сетей – оно практически бесконечно. Вы полностью игнорируете магию Огня. Если на вас наложено заклинание «Берсерк», вы получаете полный иммунитет к магии, а также получаете возможность ломать артефакты – за каждый сломанный артефакт вы получаете +100% к любой и четырех характеристик, однако заклинание «Берсерк» при этом спадает, после конца боя характеристики откатываются. Вы можете в любой момент стать невосприимчивым к заклинанию «Берсерк» и отменить этот эффект.
Броня из Камня Бурной Реки;Не продается;Вода/Жизнь;Аэлатон;Венитаркт;Единственная;К этой броне примерзает любой меч, и оторвать его можно только обладая Древним Воинским Искусством или Древним Искусством Магии Огня. Если у вас осталось менее 10% здоровья, вы начинаете игнорировать Скрытность, Дипломатию и все зачарования. Водный элементаль, вызываемый вами, имеет все заклинания всех школ магии (кроме Древних), имеет +100% ко всем характеристикам и появляется в броне и с оружием, которое пропадает после его убийства.
Песчаное кольцо;25 сс;Земля;Нет;Кратафорх;Обычная;Заклинание «Песчаная буря» дополнительно уменьшает защиту цели на 25%, а заклинание «Зыбучие пески» - все характеристики на 25%.
Браслет с песочными часами;25 сс;Огонь/Земля;Нет;Кратафорх;Обычная;Заклинание «Замедление», наложенное на врага, накладывает на вас заклинание «Скорость» того же уровня. Если на вас уже было наложено заклинание «Скорость», эффект увеличивается.
Меч из закаленного песками железа;50 сс;Огонь/Земля;Нет;Кратафорх;Обычная;+25% к нападению по существам фракции, у которой нет типа земли «Пустыни», «Полупустыни» или «Саванны».
Броня из закаленного песками железа;255035-15;Огонь/Земля;Нет;Кратафорх;Обычная;(Железная броня) +25% к защите от существ фракции, у которой нет типа земли «Пустыни», «Полупустыни» или «Саванны».
Посох из закаленного песчаника;100 сс;Огонь;Нет;Кратафорх;Редкая;Заклинания «Каменные шипы», «Песчаная буря» и «Зыбучие пески» могут быть наложены вами без затраты манны. Наложенные на вас (вами же или соперником), они имеют обратный эффект: исцеляют, дают «Точность» и ускоряют соответственно.
Арбалет с золотой нитью;125 сс;Огонь/Земля;Нет;Кратафорх;Редкая;Этот арбалет выпускает заклинание «Огненная стрела» вместо болта, уровень зависит от силы болта.
Кулон Пламени;200 сс;Огонь;Нет;Кратафорх;Редкая;Этот кулон дает вам постоянный эффект «Огнестойкость», а также влияет на количество затрачиваемой манны: -50% к стоимости всех заклинаний магии Огня. Этот кулон можно разбить: в этом случае вы получите призрачность и заклинание «Огненное возмездие», усиленное на 200%, но при этом получите -50% к здоровью. После этого также вы получите случайный доступный дополнительный навык.
Молот с позолотой;200 сс;Огонь/Земля;Нет;Кратафорх;Эпическая;Этот молот может пробивать магические барьеры и любые шлемы редкостью ниже «Эпической». Если ударить этим молотом по артефакту редкостью ниже «Эпической», артефакт разрушится, а молот получит свойства этого артефакта. Можно разбить таким образом не более трех артефактов.
Фонарь Вечности;250 сс;Огонь;Нет;Кратафорх;Эпическая;Наделяет вас призрачностью ночью, и заклинанием «Огненное возмездие», усиленное на 200% днем. На закате солнца вы получаете способность снимать положительные эффекты с цели, затрачивая при этом (сила эффекта/5)% манны и (сила эффекта/2) любой из своих характеристик. При каждом уничтожении героя вы получаете также случайное «Обычное» или «Редкое» зачарование на случайный предмет на время боя.
Броня Песчаной Бури;75-100-75-50;Земля;Нет;Кратафорх;Эпическая;Эта броня дает вам +100% ко всем характеристикам, если битва происходит в пустыне, а также дает вам возможность получить 5% от общего запаса манны, потеряв 5% здоровья. +50% к магии Огня, заклинание «Песчаная буря» работает как снятие всех положительных чар 1-2 уровня с цели.
Фолиант Света и Тьмы;500 сс;Огонь;Инфлеймит;Кратафорх;Легендарная;Вы получаете все заклинания Света и Тьмы на том уровне, на котором они у вас есть. Во время каждого боя вы можете выбрать одно из трех действий:1) Вы получаете +50% к магии Света, +50% к магии Воздуха. Вы получаете возможность игнорировать некоторые атаки, а также имеете +50% к скорости. Сила заклинания «Благословение войск» удваивается, а враги получают -1 к Скрытности.2) Вы получаете +50% к магии Тьмы, +50% к магии Земли. Вы получаете возможность делать некоторые атаки неигнорируемыми, а также имеете +50% к реакции. Сила заклинания «Проклятие войск» удваивается, а союзники получают +1 к Скрытности.3) Вы не можете быть атакованы во время боя, пока вы не атакуете.При каждом действии фолиант разряжается.
Топор из Прозрачного Металла;750 сс;Огонь/Земля;Ирсанит;Кратафорх;Легендарная;Вы можете уничтожить этот топор. Если вы это делаете, любое ваше оружие:1) Меч получает способности «Огромного Топора Властелина Огня», а любой его удар закладывает Скорбь.2) Броня получает способность поглощать удар с шансом 25%. Если удар поглощен, к силе вашего следующего удара прибавляется сила поглощенного. Любой удар по вам накладывает «Скорбь».3) Щит получает способность полгощать все стрелы и болты, выпущенные в него, и передавать их к вам в рюкзак. Любой удар по щиту накладывает «Скорбь».Эффект действует ровно день, после чего вы получаете топор, но уже безо всяких эффектов.
Ключ из золотых песков;1000 сс;Огонь;Авгит;Кратафорх;Мифическая;Этот ключ открывает любую дверь и позволяет пройти через любой магический барьер. После этого он разряжается.
Кольцо Огненного Вихря;1500 сс;Земля;Авгит;Кратафорх;Мифическая;Это кольцо превращает вас в огненного элементаля, сохраняя все ваши вещи, артефакты и эффекты. Вы получаете:1) +10% к нападению и магическому урону за каждую вещь стихии Огня.2) Все заклинания Света и Огня одновременно наложенные на вас и усиленные на 200%.3) Плавить любую вещь противника, прикоснувшись к ней с шансом 10%. Если вы это делаете, на время боя вы получаете удвоенный бонус от этой вещи.4) Вы игнорируете все заклинания стихии Воды.5) Полную невосприимчивость ко всем элементалям и призванным существам.По окончанию боя вы снова становитесь собой, а кольцо разряжается.
Том Пустоты;Не продается;Огонь/Земля;Авгит х2;Кратафорх;Единственная;Том Пустоты позволяет отправлять одну цель в Изгнание до тех пор, пока не пройдет три дня. После этого цель возвращается на то место, откуда была изгнана и становится невосприимчива к этому эффекту на три дня. Вы получаете возможность полностью игнорировать любое сопротивление магии, однако невосприимчивость к магии сохраняется. Вы можете отражать любое заклинание, испытывая лишь 50% от его действия.
Щит Пустоты;Не продается;Огонь/Земля;Авгит х2;Кратафорх;Единственная;Щит Пустоты позволяет поглощать заклинание с некоторым шансом, получая (уровень заклинания^2)% к магическому урону. Бонус не может превышать 1000% и исчезает после конца боя. Любое касание этого щита незащищенной рукой приводит к игнорированию всех эффектов соперника вами на три дня. Если этот щит будет сломан, вы получите +1000% ко всем характеристикам на один час, затем отправитесь в Изгнание на три дня, а потом вернетесь на то место, где были до изгнания с целым Щитом Пустоты.
Меч Эфира;50 сс;Земля;Нет;Маналанд;Обычная;+10% к урону по цели за каждый негативный эффект от заклинания, лежащего на цели.
Щит Эфира;50 сс;Земля;Нет;Маналанд;Обычная;+10% к защите от цели за за каждый негативный эффект от заклинания, лежащего на цели.
Пружина с содержанием эфира;75 сс;Земля;Нет;Маналанд;Обычная;Эта пружина позволяет вам не получать урон от падения.
Посох Лунного Света;100 сс;Земля;Нет;Маналанд;Обычная;Этот посох дает вам +3 к Дипломатии, если на небе видна луна, и вашим оппонентом является живое существо. +25% к магическому урону от заклинаний магии Земли.
Броня (озаренная лунным светом);20-50-35-20;Земля;Нет;Маналанд;Редкая;Эта броня позволяет вам игнорировать действие ядов, приготовленных с использованием Основ или Развитого знания ядов. Также эта броня дает вам возможность использовать Дипломатию на всех змеях и насекомых. Вы восстанавливаете 1 единицу манны за каждый удар по броне.
Клинок Хвекстиса;150 сс;Земля;Нет;Маналанд;Редкая;Вы получаете возможность наложить заклинание «Болезнь из болот» на любое существо, включая неживых существ, элементалей и невосприимчивых существ. На механизмы оно все равно не распространяется. Заклинание «Принужденное Подчинение» может подчинить до 10 существ 1-2 уровня.
Лампа Темного Сияния;200 сс;Земля;Нет;Маналанд;Редкая;Заклинание «Святое слово», наложенное вами, может быть наколдовано наоборот, причиняя урон всем, кроме  существ, которым наносит урон обычное заклинание «Святое Слово». Вы получаете возможность наложить специальное заклинание, действующее на небольшую площадь, лишающую существ 1-10 уровня возможности стрелять и блокироваться щитом (блокирование щитом работает с шансом 50%). +25% ко всем характеристикам ночью и еще +25% ко всем характеристикам, если битва происходит на болоте.
Броня эфириевой ауры;75-125-100-50;Земля;Нет;Маналанд;Эпическая;Эта броня обладает способностью восстанавливать ваше здоровье за счет выпитых вами зелий по следующей формуле:25-50-75-100 (% за редкость зелья соответственно). Любое выпитое соперником зелье действует и на вас, но все его характеристики уменьшаются в два раза. Любая магия Земли, наложенная на вас, усиливает ваш урон на 10%, но любая магия Воздуха снижает защиту на 5%.Также враг, коснувшийся вас, получает заклинание «Проклятие войск».
Болотные наспинные шипы;250 сс;Земля;Нет;Маналанд;Эпическая;Эти шипы могут откалываться от предмета и лететь во врага. При этом вы получаете такой бонус к защите, сколько процентов здоровья вы сняли сопернику. Если в результате этого соперник был повержен, вы получаете столько манны, сколько было у соперника. При этом шипы можно использовать не так часто в бою, им надо время на перезарядку.
Лук Болот;500 сс;Земля;Нет;Маналанд;Эпическая;Этот лук наносит урон, соответственно равный количеству выпитых вами зелий:1 зелье – О, 2 зелья – Р, 3-4 зелий – Э, 5-7 зелий – Л, 8+ зелий – М. Вы можете готовить зелья из болотной воды, используя этот лук и Апавит: вы получаете зелья, дающее вам эффекты «Вампиризм», «Аура страха», усиленные на 100%, и дающее вам все преимущества нежити в сочетании с живыми (например, на вас не действуют многие заклинания, а вы не подвержены заклинанию «Святое слово»), после этого камень разряжается. Стрела, выпущенная из этого лука по летающему противнику, накладывает на него заклинания «Замедление» и «Замешательство», усиленные на 200%.
Посох Красного Сияния;500 сс;Земля;Ирсанит;Маналанд;Легендарная;Этот посох позволяет поднимать из умерших воинов как нежить, так и демонов. За каждого убитого живого существа вы получаете возможность поднять одно существо. Вы можете разрядить этот посох на себя: вы получаете действие «Кулона с сапфиром», а также становитесь способным накладывать особое заклинание, расходующее половины манны и похищающее половину здоровья противника. Посох после этого разряжается.
Темная Руническая Книга;750 сс;Земля;Ирсанит;Маналанд;Легендарная;Вы получаете контроль над всеми скелетами, привидениями и вампирами на поле боя. При этом вы можете их уничтожить, а сами получите бонус ко всем характеристикам, равный силе существа. Можно уничтожить не более «уровень героя +количество выпитых зелий*2» существ.
Ожерелье из клыков вампира;1000 сс;Земля/Жизнь;Апавит;Маналанд;Мифическая;Вы получаете заклинание «Вампиризм», усиленное на 200%, так долго, пока носите этот предмет, при этом можете восстанавливать свое здоровье еще и с помощью манны: потратьте столько процентов манны, сколько процентов здоровья желаете восстановить. Бонус от этого заклинания теперь действует на любое существо, а любое выпитое вами зелье усиливает вас: вы получаете +100% к скорости передвижения на карте на один день, +100% к реакции на один день, а также полную устойчивость ко всем эффектам предметов на одну минуту, если было выпито «Зелье Драконьего Обличия».
Острый напалечник с ядом десяти болотных гадюк;1000 сс;Земля/Жизнь;Апавит;Маналанд;Мифическая;Любой приготовленный вами яд не может быть никаким способом обезврежен. Более того, этот напалечник также может заражать щиты, при этом использование щита постепенно снижает «Защиту» и «Реакцию», а длительный бой снижает и здоровье. Яд столь силен, что действует на любых существ, кроме механизмов.
Эфириевая Броня;Не продается;Земля/Жизнь;Апавит х2;Маналанд;Единственная;Эта броня растворяет все незачарованные мечи с редкостью не более Л, коснувшиеся ее: то же самое касается стрел, болтов и любых других видов оружия. Если вы убили существо не выше 12-ого уровня или героя с уровнем, ниже вашего, то вы можете применить особое заклинание, обездвиживающее вашего противника, а вы получаете все навыки соперника. Если он будет убит в это время, вам нанесется урон, равный половине вашего здоровья, а эффект пропадет. Любое выпитое вами зелье дает удвоенный эффект.
Эфириевый Магический Жезл;Не продается;Земля/Жизнь;Апавит х2;Маналанд;Единственная;Если вражеский герой имеет уровень, ниже вашего, а вражеское существо имеет уровень не выше 12-ого, то вы можете применить особое заклинание, обездвиживающее вашего противника, а вы получаете все эффекты всех вещей, зелий и артефактов, лежащих на сопернике. Если он будет убит в это время, вам нанесется урон, равный половине вашего здоровья, а эффект пропадет. Любое выпитое вами зелье может дать вам случайным образом эффект любого зелья той же редкости.
Молот из серого камня;50 сс;Земля;Нет;Маунтасплиттер;Обычная;Этот молот совершенная случайность: с шансом 25% это железный молот, с шансом 50% - закаленный, а с шансом 25% - из закаленной стали (при каждом ударе).
Упругая ветка;50 сс;Земля;Нет;Маунтасплиттер;Обычная;Этой веткой при ударе с шансом 1% можно оглушить соперника, а с шансом 5% - выбить оружие. (Ветка действует как оружие в одну руку с ней можно носить щит). При наличии брони хотя бы Л или меча хотя бы Л первый и второй эффекты пропадают соответственно.
Броня из молодого гоблина;10-30-20-10;Земля;Нет;Маунтасплиттер;Обычная;Бедный гоблин пошел на производство этой брони. Из-за этого эта броня при наложении вами магии Света накладывает на соперника еще и случайное заклинание магии Тьмы того же уровня, если заклинание  было 1-2 уровней. Эта броня аналогична «кожаной броне с железными вставками».
Щит из металла, скованного льдом;100 сс;Вода;Нет;Маунтасплиттер;Обычная;Если меч принадлежит стихии «Огонь», этот щит аналогичен щиту из метеоритного железа.
Лук заснеженных вершин;125 сс;Вода;Нет;Маунтасплиттер;Редкая;Этот лук идеально попадает во все цели белого цвета – чем светлее цель, тем больше урона он наносит. +1 ко всем навыкам Плутовства, если битва происходит на местности, покрытой снегом.
Обломанный клинок;150 сс;Земля;Нет;Маунтасплиттер;Редкая;Этот клинок можно совместить с любым поломанным мечом – этот клинок исчезнет, а меч починится (правда, все зачарования исчезнут, и меч потеряет 20% силы). В бою этот меч может накладывать заклинания «Помощь усиленных зверей» без траты манны автоматически раз в пять минут, а колющий удар этим мечом ослабляет защиту брони на 10% (режущий удар этим мечом в два раза слабее).
Большая бомба (1);200 сс;Земля;Нет;Маунтасплиттер;Редкая;Большая бомба при взрыве не только повреждает, но еще и опаляет цель драконовым огнем. Говорят, что бомба картечная, и вместо обломков используются кости гоблинов. Взрыв этой бомбы на поле битвы дает -10% ко всем характеристикам всех армий (эффект не складывается).
Бывший специалист по взрывчатке (1);250 сс;Земля;Нет;Маунтасплиттер;Эпическая;Даже страшно представить, что сделал этот гоблин, раз его сверху донизу начинили взрывчаткой. Эта вещь аналогична «Большой бомбе», но при взрыве вражеская армия получает «Проклятие войск», усиленное на 100%, а ваша – «Благословение войск», усиленное на 100%. Если наложить на этот предмет любое заклинание, бомба будет нести это заклинание, ослабленное в три раза.
Броня с трещинами;75-125-100-50;Земля;Нет;Маунтасплиттер;Эпическая;Эта броня с шансом 10% не отражает удар вообще, а с шансом 90% действует как броня из метеоритного железа.
Сотня крыс со взрывчаткой (100);500 сс;Земля/Огонь;Нет;Маунтасплиттер;Эпическая;Кто додумался положить взрывчатку в крысу?! Не спешите с выводами. Эти маленькие бомбы взрываются, накладывая на местность «Болезнь из болот» или «Болотный огонек», усиленные на (уровень героя+5)*5%. Эффект действует 24 часа. При этом, эту крысу можно использовать как снаряд для лука или арбалета. Если кинуть эту крысу в артефакт, он повредится и уменьшит все свои характеристики вдвое, а если в зачарованный предмет – чары перестанут действовать до конца сражения (естественно, это предмет, лежащий на земле или рядом с эпицентром взрыва – на экипированное снаряжение это не действует).
Молот с разломом;500 сс;Земля;Ирсанит;Маунтасплиттер;Легендарная;Вы не поверите – этот молот сломал гоблин, когда его делал! За это его растерли в порошок и сплавили вместе с молотом. Теперь этот молот дает +50% ко всем характеристикам в руках гоблина. Накладывает заклинание «Ярость Природы», усиленное а 200% , после чего разряжается. Если он попал под действие любой взрывчатки – усиливается на 50%. Игнорирует галворновый сплав.
Броня Огненного Вихря;750 сс;Огонь;Ирсанит;Маунтасплиттер;Легендарная;Если вас задела бомба, эта броня получает зачарование «Раскол Меча» и «Невероятное Отрицание», усиленные так, что «Раскол Меча» раскалывает любой меч с шансом 100%, а «Невероятное Отрицание» запрещает действие вообще всех заклинаний и чар. Эффект длится одну минуту. Все обычные/редкие вещи стихии Огня на вас не действуют.
Лук Ста Горных Вершин;1000 сс;Земля;Авгит;Маунтасплиттер;Мифическая;Этот лук получает тем больше бонуса к урону, чем светлее цель, по которой вы стреляете (имеется в виду цвет). Также при стрельбе на дальние расстояния стрела получает зачарование «Невидимая Тьма» и «Нежданное Затмение». Если ваш соперник ведет бой с арбалетом, вы получаете заклинание «Точность», а также +100% к нападению и защите.
Кузнечный Молот Семи Гоблинов;1000 сс;Земля;Авгит;Маунтасплиттер;Мифическая;Для производства этого молота семь гоблинов живьем были доверху наполнены раскаленным металлом, а затем быстро охлаждены холодной водой, после  чего сплавлены с молотом. Из-за этого этот молот может превратить вас в гоблина на короткое время – вы получите способность отличать лепреконское золото от обычного, делать лепреконское золото и проходить сквозь любые магические барьеры. При этом все ваши характеристики будут понижаться (вместе с бонусами), а навыки постепенно пропадать. Вы можете в любой момент превратиться обратно, но не ранее, чем через день. Этот молот может раскалывать оружие и магические посохи: в случае успеха он получает все эффекты расколотого оружия на два дня.
Броня Горных Вершин;Не продается;Земля;Авгит х2;Маунтасплиттер;Единственная;Эта броня пропускает лишь 25% всего урона от любого оружия вдобавок к своим характеристикам (металла из Ядра Планеты). За каждого гоблина в армии вы получаете +1% к защите. Бонус не может составить более 500%. Если битва происходит в горах, вы получаете возможность вызывать землетрясение немагическим образом, а также не получать урон от огня и лавы.
Стрелковое Орудие Горных Вершин;Не продается;Земля;Авгит х2;Маунтасплиттер;Единственная;Это орудие стреляет на дистанцию до пяти клилометров. За каждого гоблина в армии вы получаете +1% к нападению. Бонус не может составить более 500%. Если битва происходит в горах, вы получаете возможность накладывать вызывать лавину немагическим образом, а также не получать урон от снега и льда.
Топор из драконьих чешуек;25 сс;Огонь;Нет;Фьордонор;Обычная;+50% к магической защите, если вы ведете бой хотя бы против одного дракона.
Броня из семи пластин;15-35-25-10;Огонь;Нет;Фьордонор;Обычная;Дает непробиваемость заклинаниями «Драконовый огонь» и «Адский огонь».
Особо прочное седло;50 сс;Огонь/Жизнь;Нет;Фьордонор;Обычная;Позволяет летать на драконах.
Прочный корабль;100 сс;Огонь;Нет;Фьордонор;Обычная;Этот корабль гораздо прочнее обычного. Его невозможно потопить заклинаниями.
Броня из хвоста дракона;35-60-50-25;Огонь;Нет;Фьордонор;Редкая;Эта броня защищает от ударов драконов: для них эта броня равна броне из метеоритного железа.
Книга «Клин клином вышибают»;200 сс;Огонь/Жизнь;Нет;Фьордонор;Редкая;С помощью этой книги вы можете отклонить любое вражеское заклинание, если вы наколдуете это же заклинание с большей силой. На это тратится в 1.5 раза больше манны.
